geometry,srf_se_hz,srf_diff_hz,l_se_1g,q_se_1g,l_diff_1g,q_diff_1g,l_se_5g,q_se_5g,l_diff_5g,q_diff_5g,l_se_10g,q_se_10g,l_diff_10g,q_diff_10g,l_se_20g,q_se_20g,l_diff_20g,q_diff_20g,rdc_ohm,w_um,s_um,d_um,nr_r,l_port1_ph,l_port2_ph
p1,nan,nan,9.84803e-11,1.90436,9.84795e-11,1.90444,9.45956e-11,6.32491,9.45691e-11,6.32937,9.17713e-11,8.83024,9.1672e-11,8.85078,8.97424e-11,12.3196,8.93599e-11,12.4152,0.314467,8.22,3.29,47.65,1,3.748,3.748
p13,8.06997e+09,8.40024e+09,5.12361e-09,4.48913,5.1171e-09,4.52833,7.88269e-09,7.62072,7.53691e-09,9.35697,-8.23712e-09,-5.45526,-1.04978e-08,-5.57891,-5.64668e-10,-8.14908,-5.99902e-10,-8.08983,6.81241,6.1,3.29,110.11,5,1.875,1.875
p11,9.42152e+09,9.9146e+09,4.27631e-09,5.70309,4.2708e-09,5.76221,5.69836e-09,10.2804,5.48978e-09,12.6717,-2.22982e-08,-1.61294,-1.94076e-08,-0.308326,-8.63409e-10,-13.0308,-9.57536e-10,-13.596,4.38602,8.22,3.74,141.975,4,1.586,1.586
