f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
0,nan,0,nan,0,0.31436,0,nan,0,0.314357,0
50000000,1.06306e-10,0.10623,9.881e-11,0.0987386,0.314386,0.0310421,9.88124e-11,0.098742,0.314383,0.0310428
100000000,1.06304e-10,0.212399,9.88074e-11,0.197421,0.314467,0.0620825,9.88093e-11,0.197427,0.314465,0.0620837
150000000,1.06299e-10,0.318446,9.88031e-11,0.295988,0.314606,0.0931197,9.88046e-11,0.295995,0.314603,0.0931211
200000000,1.06294e-10,0.424316,9.87971e-11,0.394391,0.314795,0.124152,9.87982e-11,0.394398,0.314792,0.124154
250000000,1.06286e-10,0.529941,9.87894e-11,0.492564,0.315041,0.155178,9.87903e-11,0.492572,0.315039,0.155179
300000000,1.06276e-10,0.635272,9.878e-11,0.590462,0.315339,0.186196,9.87807e-11,0.590471,0.315337,0.186197
350000000,1.06265e-10,0.740246,9.87689e-11,0.688026,0.315692,0.217204,9.87694e-11,0.688037,0.315688,0.217205
400000000,1.06253e-10,0.844805,9.87561e-11,0.785202,0.316099,0.248201,9.87566e-11,0.785215,0.316095,0.248202
450000000,1.06238e-10,0.948903,9.87417e-11,0.881947,0.316556,0.279186,9.8742e-11,0.881961,0.316552,0.279187
500000000,1.06222e-10,1.05248,9.87257e-11,0.978201,0.317068,0.310156,9.87259e-11,0.978218,0.317063,0.310157
550000000,1.06205e-10,1.15548,9.8708e-11,1.07392,0.317632,0.34111,9.87082e-11,1.07394,0.317626,0.341111
600000000,1.06185e-10,1.25787,9.86888e-11,1.16906,0.318244,0.372048,9.86888e-11,1.16909,0.318238,0.372048
650000000,1.06164e-10,1.35958,9.86679e-11,1.26358,0.318909,0.402967,9.86679e-11,1.26361,0.318901,0.402967
700000000,1.06142e-10,1.46057,9.86456e-11,1.35742,0.319626,0.433866,9.86454e-11,1.35745,0.319618,0.433865
750000000,1.06118e-10,1.56082,9.86217e-11,1.45056,0.320389,0.464744,9.86214e-11,1.4506,0.320379,0.464742
800000000,1.06093e-10,1.66026,9.85963e-11,1.54295,0.321202,0.495599,9.85959e-11,1.543,0.321191,0.495597
850000000,1.06066e-10,1.75887,9.85694e-11,1.63456,0.322062,0.52643,9.8569e-11,1.63461,0.32205,0.526428
900000000,1.06038e-10,1.85661,9.85411e-11,1.72536,0.322969,0.557237,9.85405e-11,1.72542,0.322956,0.557234
950000000,1.06008e-10,1.95343,9.85114e-11,1.8153,0.323924,0.588017,9.85107e-11,1.81537,0.323909,0.588013
1000000000,1.05977e-10,2.04932,9.84803e-11,1.90436,0.324923,0.61877,9.84795e-11,1.90444,0.324906,0.618765
1050000000,1.05945e-10,2.14425,9.84479e-11,1.99253,0.325965,0.649495,9.8447e-11,1.99262,0.325947,0.649489
1100000000,1.05911e-10,2.23819,9.84142e-11,2.07977,0.32705,0.68019,9.84132e-11,2.07988,0.32703,0.680183
1150000000,1.05876e-10,2.3311,9.83792e-11,2.16606,0.328179,0.710855,9.83781e-11,2.16617,0.328158,0.710847
1200000000,1.0584e-10,2.423,9.8343e-11,2.25139,0.329347,0.741489,9.83417e-11,2.25152,0.329324,0.741479
1250000000,1.05802e-10,2.51382,9.83056e-11,2.33572,0.330558,0.77209,9.83042e-11,2.33586,0.330533,0.772079
1300000000,1.05764e-10,2.60359,9.82671e-11,2.41906,0.331806,0.802659,9.82655e-11,2.41922,0.331778,0.802646
1350000000,1.05724e-10,2.69226,9.82274e-11,2.50137,0.333095,0.833194,9.82257e-11,2.50155,0.333066,0.83318
1400000000,1.05683e-10,2.77986,9.81867e-11,2.58269,0.334417,0.863695,9.81848e-11,2.58288,0.334386,0.863678
1450000000,1.05642e-10,2.86632,9.81449e-11,2.66294,0.335779,0.894161,9.81428e-11,2.66315,0.335746,0.894142
1500000000,1.05599e-10,2.95171,9.81021e-11,2.74218,0.337173,0.924591,9.80999e-11,2.74241,0.337137,0.92457
1550000000,1.05555e-10,3.03596,9.80584e-11,2.82036,0.338603,0.954985,9.80561e-11,2.82062,0.338565,0.954962
1600000000,1.05511e-10,3.11911,9.80138e-11,2.89752,0.340064,0.985342,9.80112e-11,2.89779,0.340023,0.985316
1650000000,1.05465e-10,3.20113,9.79683e-11,2.97361,0.341559,1.01566,9.79656e-11,2.97391,0.341515,1.01563
1700000000,1.05419e-10,3.28204,9.7922e-11,3.04868,0.343082,1.04595,9.79191e-11,3.04899,0.343036,1.04591
1750000000,1.05372e-10,3.36183,9.78749e-11,3.12269,0.344636,1.07619,9.78718e-11,3.12303,0.344587,1.07616
1800000000,1.05324e-10,3.44053,9.78271e-11,3.19568,0.346217,1.1064,9.78238e-11,3.19605,0.346166,1.10636
1850000000,1.05276e-10,3.51811,9.77785e-11,3.26762,0.347827,1.13657,9.7775e-11,3.26802,0.347772,1.13653
1900000000,1.05226e-10,3.59463,9.77293e-11,3.33857,0.34946,1.1667,9.77256e-11,3.339,0.349402,1.16665
1950000000,1.05177e-10,3.67004,9.76795e-11,3.4085,0.35112,1.19679,9.76756e-11,3.40895,0.351059,1.19674
2000000000,1.05126e-10,3.74439,9.76291e-11,3.47742,0.352803,1.22684,9.76249e-11,3.4779,0.352739,1.22679
2050000000,1.05075e-10,3.81765,9.75782e-11,3.54533,0.354511,1.25686,9.75737e-11,3.54584,0.354444,1.2568
2100000000,1.05024e-10,3.88987,9.75267e-11,3.61226,0.35624,1.28683,9.75221e-11,3.61281,0.35617,1.28677
2150000000,1.04972e-10,3.96109,9.74748e-11,3.67826,0.357987,1.31677,9.74699e-11,3.67884,0.357913,1.31671
2200000000,1.0492e-10,4.03127,9.74224e-11,3.74329,0.359756,1.34667,9.74173e-11,3.7439,0.359678,1.3466
2250000000,1.04867e-10,4.10043,9.73697e-11,3.80736,0.361545,1.37653,9.73643e-11,3.80801,0.361463,1.37646
2300000000,1.04814e-10,4.16858,9.73166e-11,3.8705,0.363352,1.40635,9.7311e-11,3.87118,0.363267,1.40627
2350000000,1.04761e-10,4.23579,9.72632e-11,3.93274,0.365175,1.43614,9.72573e-11,3.93346,0.365086,1.43605
2400000000,1.04707e-10,4.30206,9.72095e-11,3.99411,0.367011,1.46589,9.72034e-11,3.99488,0.366918,1.46579
2450000000,1.04653e-10,4.36736,9.71556e-11,4.05459,0.368865,1.49559,9.71492e-11,4.05539,0.368767,1.4955
2500000000,1.04599e-10,4.43173,9.71015e-11,4.11418,0.370734,1.52527,9.70948e-11,4.11503,0.370632,1.52516
2550000000,1.04545e-10,4.49518,9.70471e-11,4.17293,0.372616,1.5549,9.70402e-11,4.17381,0.372511,1.55479
2600000000,1.0449e-10,4.55778,9.69927e-11,4.23087,0.374509,1.5845,9.69854e-11,4.2318,0.374399,1.58438
2650000000,1.04436e-10,4.6195,9.69381e-11,4.28799,0.376414,1.61406,9.69305e-11,4.28897,0.3763,1.61394
2700000000,1.04381e-10,4.68036,9.68834e-11,4.34431,0.378331,1.64359,9.68755e-11,4.34533,0.378212,1.64345
2750000000,1.04327e-10,4.74037,9.68286e-11,4.39984,0.380259,1.67308,9.68205e-11,4.4009,0.380135,1.67294
2800000000,1.04272e-10,4.79959,9.67739e-11,4.45463,0.382195,1.70253,9.67654e-11,4.45574,0.382066,1.70239
2850000000,1.04217e-10,4.85799,9.67191e-11,4.50865,0.38414,1.73196,9.67103e-11,4.50982,0.384006,1.7318
2900000000,1.04162e-10,4.91565,9.66643e-11,4.56198,0.386092,1.76134,9.66553e-11,4.5632,0.385953,1.76118
2950000000,1.04108e-10,4.9725,9.66096e-11,4.61456,0.388054,1.7907,9.66002e-11,4.61582,0.38791,1.79052
3000000000,1.04053e-10,5.02865,9.6555e-11,4.66648,0.39002,1.82002,9.65453e-11,4.66779,0.389871,1.81984
3050000000,1.03999e-10,5.08406,9.65004e-11,4.71771,0.391992,1.84931,9.64904e-11,4.71908,0.391838,1.84911
3100000000,1.03944e-10,5.13872,9.6446e-11,4.76824,0.393974,1.87856,9.64356e-11,4.76967,0.393814,1.87836
3150000000,1.0389e-10,5.19273,9.63917e-11,4.81817,0.395957,1.90779,9.6381e-11,4.81965,0.395792,1.90758
3200000000,1.03836e-10,5.24607,9.63376e-11,4.86746,0.397945,1.93698,9.63265e-11,4.869,0.397773,1.93676
3250000000,1.03782e-10,5.29871,9.62836e-11,4.91611,0.399939,1.96615,9.62722e-11,4.91771,0.399762,1.96591
3300000000,1.03728e-10,5.35073,9.62298e-11,4.96418,0.401935,1.99528,9.62181e-11,4.96584,0.401752,1.99504
3350000000,1.03675e-10,5.40214,9.61763e-11,5.01169,0.403933,2.02438,9.61642e-11,5.0134,0.403743,2.02413
3400000000,1.03622e-10,5.4529,9.6123e-11,5.05857,0.405937,2.05346,9.61105e-11,5.06035,0.405741,2.05319
3450000000,1.03569e-10,5.5031,9.60699e-11,5.10494,0.407939,2.08251,9.60571e-11,5.10679,0.407737,2.08223
3500000000,1.03516e-10,5.55266,9.60171e-11,5.15072,0.409948,2.11153,9.60039e-11,5.15263,0.409739,2.11124
3550000000,1.03463e-10,5.6017,9.59645e-11,5.19601,0.411954,2.14052,9.59509e-11,5.19799,0.411739,2.14022
