f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
0,nan,0,nan,0,4.3829,0,nan,0,4.38372,0
50000000,4.23358e-09,0.303402,4.23041e-09,0.303175,4.38368,1.32902,4.23214e-09,0.303251,4.38438,1.32957
100000000,4.23393e-09,0.60653,4.23076e-09,0.606076,4.38602,2.65826,4.23243e-09,0.606265,4.38639,2.65932
150000000,4.23451e-09,0.909109,4.23134e-09,0.908428,4.38993,3.98794,4.23291e-09,0.908809,4.38973,3.98943
200000000,4.23532e-09,1.21086,4.23214e-09,1.20996,4.39541,5.31827,4.23359e-09,1.21065,4.39441,5.32008
250000000,4.23636e-09,1.51152,4.23318e-09,1.51039,4.40248,6.64947,4.23446e-09,1.51155,4.40044,6.65147
300000000,4.23763e-09,1.81081,4.23445e-09,1.80946,4.41114,7.98176,4.23552e-09,1.81128,4.40781,7.98376
350000000,4.23913e-09,2.10845,4.23595e-09,2.10688,4.4214,9.31535,4.23677e-09,2.1096,4.41654,9.31715
400000000,4.24086e-09,2.40418,4.23769e-09,2.40238,4.43329,10.6505,4.23822e-09,2.4063,4.42662,10.6518
450000000,4.24282e-09,2.69771,4.23965e-09,2.6957,4.44682,11.9873,4.23986e-09,2.70115,4.43807,11.9879
500000000,4.24501e-09,2.98879,4.24184e-09,2.98657,4.46202,13.3261,4.24169e-09,2.99393,4.4509,13.3257
550000000,4.24743e-09,3.27715,4.24426e-09,3.27471,4.4789,14.6671,4.24373e-09,3.28442,4.4651,14.6653
600000000,4.25008e-09,3.56251,4.24691e-09,3.55986,4.49749,16.0105,4.24595e-09,3.5724,4.4807,16.0069
650000000,4.25296e-09,3.84462,4.24979e-09,3.84177,4.51782,17.3564,4.24837e-09,3.85767,4.4977,17.3506
700000000,4.25607e-09,4.12321,4.25289e-09,4.12016,4.53992,18.7052,4.25098e-09,4.14002,4.51611,18.6968
750000000,4.2594e-09,4.39804,4.25623e-09,4.39479,4.56381,20.057,4.25379e-09,4.41926,4.53595,20.0455
800000000,4.26297e-09,4.66886,4.25979e-09,4.66542,4.58952,21.412,4.2568e-09,4.69519,4.55722,21.397
850000000,4.26676e-09,4.93542,4.26358e-09,4.93179,4.61709,22.7705,4.26e-09,4.96763,4.57994,22.7514
900000000,4.27077e-09,5.19749,4.26759e-09,5.19368,4.64655,24.1327,4.26341e-09,5.23639,4.60413,24.109
