 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769023e-10  2.63253024e-01  5.41138076e-09  5.80926468e-01  4.57059896e-09  7.28860144e-01 
 1.04736719e+08  1.03769012e-10  2.75720753e-01  5.41142931e-09  6.08432098e-01  4.57064327e-09  7.63369413e-01 
 1.09697804e+08  1.03769000e-10  2.88778771e-01  5.41148250e-09  6.37238873e-01  4.57069182e-09  7.99511004e-01 
 1.14893881e+08  1.03768988e-10  3.02454997e-01  5.41154078e-09  6.67408158e-01  4.57074500e-09  8.37361872e-01 
 1.20336082e+08  1.03768973e-10  3.16778669e-01  5.41160462e-09  6.99004180e-01  4.57080324e-09  8.77002560e-01 
 1.26036065e+08  1.03768958e-10  3.31780401e-01  5.41167454e-09  7.32094159e-01  4.57086702e-09  9.18517356e-01 
 1.32006039e+08  1.03768941e-10  3.47492247e-01  5.41175110e-09  7.66748438e-01  4.57093685e-09  9.61994461e-01 
 1.38258795e+08  1.03768922e-10  3.63947775e-01  5.41183494e-09  8.03040629e-01  4.57101330e-09  1.00752615e+00 
 1.44807726e+08  1.03768902e-10  3.81182129e-01  5.41192672e-09  8.41047745e-01  4.57109697e-09  1.05520898e+00 
 1.51666862e+08  1.03768879e-10  3.99232107e-01  5.41202717e-09  8.80850356e-01  4.57118852e-09  1.10514391e+00 
 1.58850896e+08  1.03768855e-10  4.18136234e-01  5.41213710e-09  9.22532740e-01  4.57128868e-09  1.15743656e+00 
 1.66375217e+08  1.03768828e-10  4.37934848e-01  5.41225737e-09  9.66183036e-01  4.57139823e-09  1.21219735e+00 
 1.74255944e+08  1.03768798e-10  4.58670176e-01  5.41238891e-09  1.01189341e+00  4.57151801e-09  1.26954173e+00 
 1.82509959e+08  1.03768766e-10  4.80386424e-01  5.41253276e-09  1.05976020e+00  4.57164895e-09  1.32959034e+00 
 1.91154944e+08  1.03768730e-10  5.03129871e-01  5.41269001e-09  1.10988413e+00  4.57179204e-09  1.39246925e+00 
 2.00209417e+08  1.03768691e-10  5.26948956e-01  5.41286187e-09  1.16237041e+00  4.57194835e-09  1.45831013e+00 
 2.09692776e+08  1.03768648e-10  5.51894385e-01  5.41304962e-09  1.21732897e+00  4.57211905e-09  1.52725045e+00 
 2.19625334e+08  1.03768601e-10  5.78019225e-01  5.41325466e-09  1.27487459e+00  4.57230538e-09  1.59943372e+00 
 2.30028370e+08  1.03768549e-10  6.05379017e-01  5.41347851e-09  1.33512708e+00  4.57250869e-09  1.67500961e+00 
 2.40924169e+08  1.03768492e-10  6.34031884e-01  5.41372279e-09  1.39821146e+00  4.57273043e-09  1.75413417e+00 
 2.52336071e+08  1.03768430e-10  6.64038647e-01  5.41398924e-09  1.46425808e+00  4.57297216e-09  1.83697003e+00 
 2.64288522e+08  1.03768361e-10  6.95462943e-01  5.41427975e-09  1.53340282e+00  4.57323554e-09  1.92368646e+00 
 2.76807128e+08  1.03768286e-10  7.28371352e-01  5.41459633e-09  1.60578717e+00  4.57352235e-09  2.01445960e+00 
 2.89918705e+08  1.03768204e-10  7.62833521e-01  5.41494114e-09  1.68155842e+00  4.57383451e-09  2.10947249e+00 
 3.03651341e+08  1.03768114e-10  7.98922301e-01  5.41531648e-09  1.76086970e+00  4.57417404e-09  2.20891514e+00 
 3.18034453e+08  1.03768015e-10  8.36713884e-01  5.41572484e-09  1.84388008e+00  4.57454312e-09  2.31298460e+00 
 3.33098852e+08  1.03767906e-10  8.76287941e-01  5.41616883e-09  1.93075465e+00  4.57494403e-09  2.42188486e+00 
 3.48876811e+08  1.03767786e-10  9.17727773e-01  5.41665126e-09  2.02166444e+00  4.57537924e-09  2.53582677e+00 
 3.65402126e+08  1.03767655e-10  9.61120457e-01  5.41717513e-09  2.11678647e+00  4.57585134e-09  2.65502787e+00 
 3.82710200e+08  1.03767511e-10  1.00655700e+00  5.41774359e-09  2.21630359e+00  4.57636307e-09  2.77971211e+00 
 4.00838108e+08  1.03767353e-10  1.05413251e+00  5.41836002e-09  2.32040433e+00  4.57691735e-09  2.91010946e+00 
 4.19824685e+08  1.03767179e-10  1.10394633e+00  5.41902799e-09  2.42928268e+00  4.57751724e-09  3.04645540e+00 
 4.39710602e+08  1.03766989e-10  1.15610222e+00  5.41975129e-09  2.54313771e+00  4.57816603e-09  3.18899025e+00 
 4.60538460e+08  1.03766779e-10  1.21070853e+00  5.42053397e-09  2.66217314e+00  4.57886714e-09  3.33795838e+00 
 4.82352874e+08  1.03766550e-10  1.26787836e+00  5.42138029e-09  2.78659680e+00  4.57962423e-09  3.49360716e+00 
 5.05200577e+08  1.03766297e-10  1.32772971e+00  5.42229481e-09  2.91661991e+00  4.58044119e-09  3.65618576e+00 
 5.29130511e+08  1.03766020e-10  1.39038568e+00  5.42328239e-09  3.05245619e+00  4.58132214e-09  3.82594363e+00 
 5.54193938e+08  1.03765716e-10  1.45597461e+00  5.42434820e-09  3.19432089e+00  4.58227149e-09  4.00312885e+00 
 5.80444550e+08  1.03765381e-10  1.52463027e+00  5.42549780e-09  3.34242950e+00  4.58329394e-09  4.18798603e+00 
 6.07938580e+08  1.03765014e-10  1.59649199e+00  5.42673717e-09  3.49699633e+00  4.58439458e-09  4.38075401e+00 
 6.36734925e+08  1.03764611e-10  1.67170484e+00  5.42807275e-09  3.65823281e+00  4.58557888e-09  4.58166314e+00 
 6.66895272e+08  1.03764167e-10  1.75041974e+00  5.42951153e-09  3.82634557e+00  4.58685278e-09  4.79093223e+00 
 6.98484230e+08  1.03763681e-10  1.83279365e+00  5.43106111e-09  4.00153415e+00  4.58822277e-09  5.00876507e+00 
