 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769026e-10  2.63253026e-01  5.41143210e-09  5.80929296e-01  4.57063787e-09  7.28863904e-01 
 1.04736719e+08  1.03769015e-10  2.75720756e-01  5.41148581e-09  6.08435417e-01  4.57068614e-09  7.63373867e-01 
 1.09697804e+08  1.03769004e-10  2.88778774e-01  5.41154470e-09  6.37242776e-01  4.57073908e-09  7.99516287e-01 
 1.14893881e+08  1.03768991e-10  3.02455001e-01  5.41160927e-09  6.67412752e-01  4.57079711e-09  8.37368150e-01 
 1.20336082e+08  1.03768978e-10  3.16778674e-01  5.41168007e-09  6.99009597e-01  4.57086074e-09  8.77010033e-01 
 1.26036065e+08  1.03768962e-10  3.31780406e-01  5.41175768e-09  7.32100554e-01  4.57093048e-09  9.18526269e-01 
 1.32006039e+08  1.03768946e-10  3.47492254e-01  5.41184276e-09  7.66756003e-01  4.57100694e-09  9.62005107e-01 
 1.38258795e+08  1.03768928e-10  3.63947783e-01  5.41193603e-09  8.03049588e-01  4.57109074e-09  1.00753889e+00 
 1.44807726e+08  1.03768908e-10  3.81182138e-01  5.41203825e-09  8.41058375e-01  4.57118259e-09  1.05522425e+00 
 1.51666862e+08  1.03768886e-10  3.99232116e-01  5.41215029e-09  8.80862988e-01  4.57128325e-09  1.10516224e+00 
 1.58850896e+08  1.03768862e-10  4.18136246e-01  5.41227308e-09  9.22547773e-01  4.57139355e-09  1.15745860e+00 
 1.66375217e+08  1.03768836e-10  4.37934861e-01  5.41240763e-09  9.66200953e-01  4.57151441e-09  1.21222390e+00 
 1.74255944e+08  1.03768807e-10  4.58670191e-01  5.41255506e-09  1.01191479e+00  4.57164682e-09  1.26957374e+00 
 1.82509959e+08  1.03768775e-10  4.80386442e-01  5.41271657e-09  1.05978577e+00  4.57179187e-09  1.32962899e+00 
 1.91154944e+08  1.03768741e-10  5.03129892e-01  5.41289351e-09  1.10991473e+00  4.57195074e-09  1.39251596e+00 
 2.00209417e+08  1.03768702e-10  5.26948981e-01  5.41308730e-09  1.16240708e+00  4.57212473e-09  1.45836665e+00 
 2.09692776e+08  1.03768661e-10  5.51894413e-01  5.41329953e-09  1.21737296e+00  4.57231525e-09  1.52731890e+00 
 2.19625334e+08  1.03768615e-10  5.78019258e-01  5.41353191e-09  1.27492742e+00  4.57252383e-09  1.59951667e+00 
 2.30028370e+08  1.03768565e-10  6.05379056e-01  5.41378632e-09  1.33519058e+00  4.57275213e-09  1.67511019e+00 
 2.40924169e+08  1.03768509e-10  6.34031929e-01  5.41406480e-09  1.39828784e+00  4.57300198e-09  1.75425618e+00 
 2.52336071e+08  1.03768449e-10  6.64038700e-01  5.41436954e-09  1.46435000e+00  4.57327535e-09  1.83711804e+00 
 2.64288522e+08  1.03768382e-10  6.95463006e-01  5.41470297e-09  1.53351346e+00  4.57357438e-09  1.92386601e+00 
 2.76807128e+08  1.03768310e-10  7.28371425e-01  5.41506769e-09  1.60592037e+00  4.57390140e-09  2.01467734e+00 
 2.89918705e+08  1.03768230e-10  7.62833607e-01  5.41546653e-09  1.68171874e+00  4.57425892e-09  2.10973640e+00 
 3.03651341e+08  1.03768142e-10  7.98922402e-01  5.41590258e-09  1.76106260e+00  4.57464967e-09  2.20923476e+00 
 3.18034453e+08  1.03768046e-10  8.36714003e-01  5.41637914e-09  1.84411202e+00  4.57507661e-09  2.31337126e+00 
 3.33098852e+08  1.03767940e-10  8.76288081e-01  5.41689982e-09  1.93103324e+00  4.57554291e-09  2.42235198e+00 
 3.48876811e+08  1.03767824e-10  9.17727938e-01  5.41746851e-09  2.02199865e+00  4.57605201e-09  2.53639014e+00 
 3.65402126e+08  1.03767697e-10  9.61120652e-01  5.41808938e-09  2.11718673e+00  4.57660761e-09  2.65570593e+00 
 3.82710200e+08  1.03767557e-10  1.00655723e+00  5.41876696e-09  2.21678195e+00  4.57721370e-09  2.78052622e+00 
 4.00838108e+08  1.03767404e-10  1.05413278e+00  5.41950609e-09  2.32097463e+00  4.57787455e-09  2.91108413e+00 
 4.19824685e+08  1.03767236e-10  1.10394665e+00  5.42031199e-09  2.42996056e+00  4.57859474e-09  3.04761844e+00 
 4.39710602e+08  1.03767051e-10  1.15610260e+00  5.42119025e-09  2.54394065e+00  4.57937917e-09  3.19037280e+00 
 4.60538460e+08  1.03766849e-10  1.21070898e+00  5.42214685e-09  2.66312033e+00  4.58023310e-09  3.33959468e+00 
 4.82352874e+08  1.03766626e-10  1.26787889e+00  5.42318820e-09  2.78770883e+00  4.58116210e-09  3.49553404e+00 
 5.05200577e+08  1.03766382e-10  1.32773033e+00  5.42432112e-09  2.91791821e+00  4.58217213e-09  3.65844173e+00 
 5.29130511e+08  1.03766114e-10  1.39038641e+00  5.42555288e-09  3.05396218e+00  4.58326953e-09  3.82856737e+00 
 5.54193938e+08  1.03765820e-10  1.45597547e+00  5.42689122e-09  3.19605459e+00  4.58446099e-09  4.00615688e+00 
 5.80444550e+08  1.03765497e-10  1.52463127e+00  5.42834433e-09  3.34440759e+00  4.58575362e-09  4.19144941e+00 
 6.07938580e+08  1.03765143e-10  1.59649316e+00  5.42992094e-09  3.49922941e+00  4.58715494e-09  4.38467373e+00 
 6.36734925e+08  1.03764753e-10  1.67170619e+00  5.43163026e-09  3.66072172e+00  4.58867290e-09  4.58604380e+00 
 6.66895272e+08  1.03764326e-10  1.75042131e+00  5.43348202e-09  3.82907637e+00  4.59031585e-09  4.79575378e+00 
 6.98484230e+08  1.03763857e-10  1.83279545e+00  5.43548654e-09  4.00447173e+00  4.59209263e-09  5.01397196e+00 
 7.31569468e+08  1.03763341e-10  1.91899168e+00  5.43765468e-09  4.18706824e+00  4.59401254e-09  5.24083398e+00 
 7.66221861e+08  1.03762775e-10  2.00917926e+00  5.43999795e-09  4.37700338e+00  4.59608540e-09  5.47643491e+00 
 8.02515641e+08  1.03762154e-10  2.10353379e+00  5.44252851e-09  4.57438585e+00  4.59832155e-09  5.72082042e+00 
 8.40528555e+08  1.03761471e-10  2.20223718e+00  5.44525920e-09  4.77928902e+00  4.60073196e-09  5.97397684e+00 
 8.80342035e+08  1.03760721e-10  2.30547773e+00  5.44820369e-09  4.99174354e+00  4.60332823e-09  6.23582029e+00 
 9.22041367e+08  1.03759897e-10  2.41345008e+00  5.45137647e-09  5.21172919e+00  4.60612270e-09  6.50618479e+00 
 9.65715880e+08  1.03758991e-10  2.52635514e+00  5.45479305e-09  5.43916594e+00  4.60912854e-09  6.78480962e+00 
 1.01145913e+09  1.03757997e-10  2.64440000e+00  5.45847003e-09  5.67390433e+00  4.61235991e-09  7.07132602e+00 
 1.05936911e+09  1.03756904e-10  2.76779772e+00  5.46242528e-09  5.91571525e+00  4.61583206e-09  7.36524359e+00 
 1.10954846e+09  1.03755704e-10  2.89676708e+00  5.46667818e-09  6.16427928e+00  4.61956153e-09  7.66593666e+00 
 1.16210465e+09  1.03754385e-10  3.03153226e+00  5.47124978e-09  6.41917579e+00  4.62356640e-09  7.97263114e+00 
 1.21715029e+09  1.03752936e-10  3.17232240e+00  5.47616316e-09  6.67987215e+00  4.62786649e-09  8.28439233e+00 
 1.27480328e+09  1.03751344e-10  3.31937106e+00  5.48144370e-09  6.94571318e+00  4.63248369e-09  8.60011433e+00 
 1.33518714e+09  1.03749595e-10  3.47291554e+00  5.48711947e-09  7.21591150e+00  4.63744227e-09  8.91851169e+00 
 1.39843121e+09  1.03747674e-10  3.63319612e+00  5.49322166e-09  7.48953891e+00  4.64276930e-09  9.23811401e+00 
 1.46467097e+09  1.03745563e-10  3.80045505e+00  5.49978504e-09  7.76551959e+00  4.64849499e-09  9.55726430e+00 
 1.53404832e+09  1.03743245e-10  3.97493544e+00  5.50684850e-09  8.04262529e+00  4.65465326e-09  9.87412162e+00 
 1.60671189e+09  1.03740699e-10  4.15687993e+00  5.51445564e-09  8.31947343e+00  4.66128218e-09  1.01866688e+01 
 1.68281732e+09  1.03737904e-10  4.34652910e+00  5.52265542e-09  8.59452818e+00  4.66842459e-09  1.04927258e+01 
 1.76252766e+09  1.03734834e-10  4.54411974e+00  5.53150289e-09  8.86610541e+00  4.67612871e-09  1.07899688e+01 
 1.84601365e+09  1.03731465e-10  4.74988275e+00  5.54105998e-09  9.13238166e+00  4.68444882e-09  1.10759553e+01 
 1.93345414e+09  1.03727769e-10  4.96404083e+00  5.55139635e-09  9.39140759e+00  4.69344606e-09  1.13481555e+01 
 2.02503643e+09  1.03723713e-10  5.18680585e+00  5.56259040e-09  9.64112598e+00  4.70318925e-09  1.16039891e+01 
 2.12095673e+09  1.03719265e-10  5.41837588e+00  5.57473032e-09  9.87939453e+00  4.71375582e-09  1.18408664e+01 
 2.22142050e+09  1.03714389e-10  5.65893190e+00  5.58791530e-09  1.01040131e+01  4.72523291e-09  1.20562345e+01 
 2.32664295e+09  1.03709045e-10  5.90863420e+00  5.60225688e-09  1.03127552e+01  4.73771850e-09  1.22476245e+01 
 2.43684950e+09  1.03703190e-10  6.16761835e+00  5.61788051e-09  1.05034029e+01  4.75132281e-09  1.24127011e+01 
 2.55227623e+09  1.03696780e-10  6.43599089e+00  5.63492725e-09  1.06737846e+01  4.76616981e-09  1.25493109e+01 
 2.67317039e+09  1.03689764e-10  6.71382469e+00  5.65355584e-09  1.08218147e+01  4.78239901e-09  1.26555278e+01 
 2.79979097e+09  1.03682090e-10  7.00115398e+00  5.67394500e-09  1.09455336e+01  4.80016754e-09  1.27296948e+01 
 2.93240922e+09  1.03673699e-10  7.29796919e+00  5.69629614e-09  1.10431466e+01  4.81965254e-09  1.27704593e+01 
 3.07130921e+09  1.03664532e-10  7.60421150e+00  5.72083656e-09  1.11130608e+01  4.84105400e-09  1.27768010e+01 
 3.21678851e+09  1.03654522e-10  7.91976745e+00  5.74782317e-09  1.11539183e+01  4.86459812e-09  1.27480508e+01 
 3.36915876e+09  1.03643599e-10  8.24446344e+00  5.77754695e-09  1.11646238e+01  4.89054122e-09  1.26839003e+01 
 3.52874636e+09  1.03631689e-10  8.57806048e+00  5.81033822e-09  1.11443665e+01  4.91917455e-09  1.25844016e+01 
 3.69589317e+09  1.03618712e-10  8.92024931e+00  5.84657299e-09  1.10926339e+01  4.95082996e-09  1.24499571e+01 
 3.87095726e+09  1.03604586e-10  9.27064600e+00  5.88668060e-09  1.10092183e+01  4.98588673e-09  1.22813001e+01 
 4.05431365e+09  1.03589221e-10  9.62878842e+00  5.93115295e-09  1.08942148e+01  5.02477997e-09  1.20794676e+01 
 4.24635511e+09  1.03572527e-10  9.99413382e+00  5.98055581e-09  1.07480115e+01  5.06801079e-09  1.18457656e+01 
 4.44749304e+09  1.03554405e-10  1.03660576e+01  6.03554267e-09  1.05712716e+01  5.11615889e-09  1.15817297e+01 
 4.65815830e+09  1.03534756e-10  1.07438542e+01  6.09687186e-09  1.03649091e+01  5.16989806e-09  1.12890818e+01 
 4.87880219e+09  1.03513478e-10  1.11267393e+01  6.16542788e-09  1.01300592e+01  5.23001570e-09  1.09696852e+01 
 5.10989736e+09  1.03490464e-10  1.15138548e+01  6.24224820e-09  9.86804316e+00  5.29743720e-09  1.06254986e+01 
 5.35193887e+09  1.03465608e-10  1.19042763e+01  6.32855713e-09  9.58033164e+00  5.37325710e-09  1.02585328e+01 
 5.60544519e+09  1.03438802e-10  1.22970234e+01  6.42580912e-09  9.26850559e+00  5.45877890e-09  9.87080844e+00 
 5.87095941e+09  1.03409941e-10  1.26910723e+01  6.53574467e-09  8.93421745e+00  5.55556670e-09  9.46431812e+00 
 6.14905028e+09  1.03378923e-10  1.30853721e+01  6.66046308e-09  8.57915326e+00  5.66551269e-09  9.04099256e+00 
 6.44031354e+09  1.03345648e-10  1.34788634e+01  6.80251845e-09  8.20499718e+00  5.79092666e-09  8.60267137e+00 
