 frequency       l_ind_p1        q_ind_p1        l_ind_p13       q_ind_p13       l_ind_p11       q_ind_p11      
 1.00000000e+08  1.03769138e-10  3.47003447e-01  5.41210015e-09  7.29697245e-01  4.57102605e-09  9.30031299e-01 
 1.04736719e+08  1.03769117e-10  3.63435849e-01  5.41215087e-09  7.64244223e-01  4.57107210e-09  9.74061611e-01 
 1.09697804e+08  1.03769095e-10  3.80645986e-01  5.41220644e-09  8.00425023e-01  4.57112256e-09  1.02017400e+00 
 1.14893881e+08  1.03769070e-10  3.98670605e-01  5.41226732e-09  8.38316633e-01  4.57117782e-09  1.06846652e+00 
 1.20336082e+08  1.03769044e-10  4.17548178e-01  5.41233400e-09  8.77999621e-01  4.57123835e-09  1.11904179e+00 
 1.26036065e+08  1.03769014e-10  4.37318985e-01  5.41240703e-09  9.19558295e-01  4.57130462e-09  1.17200718e+00 
 1.32006039e+08  1.03768982e-10  4.58025197e-01  5.41248699e-09  9.63080869e-01  4.57137717e-09  1.22747500e+00 
 1.38258795e+08  1.03768946e-10  4.79710958e-01  5.41257454e-09  1.00865963e+00  4.57145659e-09  1.28556276e+00 
 1.44807726e+08  1.03768907e-10  5.02422483e-01  5.41267037e-09  1.05639111e+00  4.57154350e-09  1.34639333e+00 
 1.51666862e+08  1.03768865e-10  5.26208146e-01  5.41277524e-09  1.10637629e+00  4.57163860e-09  1.41009522e+00 
 1.58850896e+08  1.03768818e-10  5.51118581e-01  5.41288999e-09  1.15872074e+00  4.57174262e-09  1.47680274e+00 
 1.66375217e+08  1.03768766e-10  5.77206786e-01  5.41301552e-09  1.21353484e+00  4.57185637e-09  1.54665632e+00 
 1.74255944e+08  1.03768710e-10  6.04528224e-01  5.41315279e-09  1.27093398e+00  4.57198074e-09  1.61980265e+00 
 1.82509959e+08  1.03768648e-10  6.33140939e-01  5.41330287e-09  1.33103872e+00  4.57211667e-09  1.69639499e+00 
 1.91154944e+08  1.03768580e-10  6.63105671e-01  5.41346691e-09  1.39397502e+00  4.57226519e-09  1.77659337e+00 
 2.00209417e+08  1.03768506e-10  6.94485971e-01  5.41364615e-09  1.45987444e+00  4.57242740e-09  1.86056481e+00 
 2.09692776e+08  1.03768424e-10  7.27348330e-01  5.41384192e-09  1.52887427e+00  4.57260451e-09  1.94848358e+00 
 2.19625334e+08  1.03768335e-10  7.61762301e-01  5.41405567e-09  1.60111783e+00  4.57279780e-09  2.04053137e+00 
